Rank,Country/Territory,Continent,2020 Population,Area (km²),Density (per km²),World Population Percentage
216,Liechtenstein,Europe,38756,160,245.7937,0.0
141,Lithuania,Europe,2820267,65300,42.1142,0.03
168,Luxembourg,Europe,630399,2586,250.425,0.01
167,Macau,Asia,676283,30,23172.2667,0.01
50,Madagascar,Africa,28225177,587041,50.4423,0.37
62,Malawi,Africa,19377061,118484,172.22,0.26
45,Malaysia,Asia,33199993,330803,102.5934,0.43
174,Maldives,Asia,514438,300,1745.9567,0.01
59,Mali,Africa,21224040,1240192,18.2178,0.28
173,Malta,Europe,515357,316,1687.6139,0.01
215,Marshall Islands,Oceania,43413,181,229.663,0.0
180,Martinique,North America,370391,1128,325.8041,0.0
126,Mauritania,Africa,4498604,1030700,4.5951,0.06
157,Mauritius,Africa,1297828,2040,636.9946,0.02
182,Mayotte,Africa,305587,374,871.9278,0.0
10,Mexico,North America,125998302,1964375,64.9082,1.6
194,Micronesia,Oceania,112106,702,162.6268,0.0
135,Moldova,Europe,3084847,33846,96.7026,0.04
217,Monaco,Europe,36922,2,18234.5,0.0
134,Mongolia,Asia,3294335,1564110,2.1727,0.04
169,Montenegro,Europe,629048,13812,45.4012,0.01
230,Montserrat,North America,4500,102,43.0392,0.0
40,Morocco,Africa,36688772,446550,83.883,0.47
48,Mozambique,Africa,31178239,801590,41.1302,0.41
26,Myanmar,Asia,53423198,676578,80.0784,0.68
145,Namibia,Africa,2489098,825615,3.1092,0.03
225,Nauru,Oceania,12315,21,603.2381,0.0
49,Nepal,Asia,29348627,147181,207.5511,0.38
71,Netherlands,Europe,17434557,41850,419.6897,0.22
185,New Caledonia,Oceania,286403,18575,15.6097,0.0
123,New Zealand,Oceania,5061133,270467,19.1716,0.07
106,Nicaragua,North America,6755895,130373,53.2962,0.09
54,Niger,Africa,24333639,1267000,20.6851,0.33
6,Nigeria,Africa,208327405,923768,236.5759,2.74
232,Niue,Oceania,1942,260,7.4385,0.0
56,North Korea,Asia,25867467,120538,216.2755,0.33
150,North Macedonia,Europe,2111072,25713,81.4218,0.03
210,Northern Mariana Islands,Oceania,49587,464,106.7909,0.0
120,Norway,Europe,5379839,323802,16.7828,0.07
127,Oman,Asia,4543399,309500,14.7861,0.06
5,Pakistan,Asia,227196741,881912,267.4018,2.96
222,Palau,Oceania,17972,459,39.3355,0.0
122,Palestine,Asia,5019401,6220,844.063,0.07
128,Panama,North America,4294396,75417,58.4561,0.06
93,Papua New Guinea,Oceania,9749640,462840,21.9139,0.13
109,Paraguay,South America,6618695,406752,16.6705,0.09
44,Peru,South America,33304756,1285216,26.4933,0.43
13,Philippines,Asia,112190977,342353,337.5434,1.45
37,Poland,Europe,38428366,312679,127.4698,0.5
92,Portugal,Europe,10298192,92090,111.5307,0.13
136,Puerto Rico,North America,3271564,8870,366.675,0.04
143,Qatar,Asia,2760385,11586,232.6189,0.03
114,Republic of the Congo,Africa,5702174,342000,17.4574,0.07
161,Reunion,Africa,957822,2511,387.914,0.01
64,Romania,Europe,19442038,238391,82.4665,0.25
9,Russia,Europe,145617329,17098242,8.4636,1.81
76,Rwanda,Africa,13146362,26338,523.0731,0.17
228,Saint Barthelemy,North America,10681,21,522.2381,0.0
211,Saint Kitts and Nevis,North America,47642,261,182.5939,0.0
190,Saint Lucia,North America,179237,616,291.9756,0.0
220,Saint Martin,North America,32552,53,599.8302,0.0
229,Saint Pierre and Miquelon,North America,5906,242,24.2231,0.0
199,Saint Vincent and the Grenadines,North America,104632,389,267.2185,0.0
188,Samoa,Oceania,214929,2842,78.2484,0.0
218,San Marino,Europe,34007,61,551.8033,0.0
187,Sao Tome and Principe,Africa,218641,964,235.8714,0.0
41,Saudi Arabia,Asia,35997107,2149690,16.9368,0.46
72,Senegal,Africa,16436119,196722,88.025,0.22
105,Serbia,Europe,7358005,88361,81.7257,0.09
196,Seychelles,Africa,105530,452,236.9867,0.0
102,Sierra Leone,Africa,8233969,71740,119.957,0.11
113,Singapore,Asia,5909869,710,8416.4634,0.07
214,Sint Maarten,North America,43621,34,1299.2647,0.0
116,Slovakia,Europe,5456681,49037,115.0856,0.07
148,Slovenia,Europe,2117641,20273,104.5649,0.03
166,Solomon Islands,Oceania,691191,28896,25.0648,0.01
70,Somalia,Africa,16537016,637657,27.5971,0.22
24,South Africa,Africa,58801927,1221037,49.0517,0.75
29,South Korea,Asia,51844690,100210,517.0722,0.65
86,South Sudan,Africa,10606227,619745,17.6091,0.14
30,Spain,Europe,47363807,505992,93.9909,0.6
61,Sri Lanka,Asia,21715079,65610,332.7563,0.27
32,Sudan,Africa,44440486,1886068,24.8529,0.59
170,Suriname,South America,607065,163820,3.7727,0.01
87,Sweden,Europe,10368969,450295,23.4276,0.13
101,Switzerland,Europe,8638613,41284,211.7157,0.11
60,Syria,Asia,20772595,185180,119.4797,0.28
57,Taiwan,Asia,23821464,36193,660.1662,0.3
95,Tajikistan,Asia,9543207,143100,69.5513,0.12
22,Tanzania,Africa,61704518,945087,69.3034,0.82
20,Thailand,Asia,71475664,513120,139.7276,0.9
155,Timor-Leste,Asia,1299995,14874,90.1772,0.02
100,Togo,Africa,8442580,56785,155.8281,0.11
233,Tokelau,Oceania,1827,12,155.9167,0.0
197,Tonga,Oceania,105254,747,143.0495,0.0
153,Trinidad and Tobago,North America,1518147,5130,298.4491,0.02
79,Tunisia,Africa,12161723,163610,75.5218,0.15
18,Turkey,Asia,84135428,783562,108.9145,1.07
111,Turkmenistan,Asia,6250438,488100,13.1751,0.08
212,Turks and Caicos Islands,North America,44276,948,48.2099,0.0
227,Tuvalu,Oceania,11069,26,435.0769,0.0
31,Uganda,Africa,44404611,241550,195.61,0.59
38,Ukraine,Europe,43909666,603500,65.7858,0.5
97,United Arab Emirates,Asia,9287289,83600,112.9322,0.12
21,United Kingdom,Europe,67059474,242900,277.9289,0.85
3,United States,North America,335942003,9372610,36.0935,4.24
200,United States Virgin Islands,North America,100442,347,286.6427,0.0
133,Uruguay,South America,3429086,181034,18.9069,0.04
43,Uzbekistan,Asia,33526656,447400,77.3975,0.43
181,Vanuatu,Oceania,311685,12189,26.8061,0.0
234,Vatican City,Europe,520,1,510.0,0.0
51,Venezuela,South America,28490453,916445,30.882,0.35
16,Vietnam,Asia,96648685,331212,296.4472,1.23
226,Wallis and Futuna,Oceania,11655,142,81.493,0.0
172,Western Sahara,Africa,556048,266000,2.1654,0.01
46,Yemen,Asia,32284046,527968,63.8232,0.42
63,Zambia,Africa,18927715,752612,26.5976,0.25
74,Zimbabwe,Africa,15669666,390757,41.7665,0.2
